,Room,Photo,path,kind
113,Zaal_I,20190323_121200,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121200.jpg,TP
114,Zaal_I,20190323_121200,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121200.jpg,TP
115,Zaal_I,20190323_121200,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121200.jpg,TP
116,Zaal_I,20190323_121200,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121200.jpg,FN
117,Zaal_I,20190323_121222,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121222.jpg,TP
118,Zaal_J,20190323_121308,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121308.jpg,TP
119,Zaal_J,20190323_121436,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121436.jpg,TP
120,Zaal_J,20190323_121605,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121605.jpg,FN
121,Zaal_J,20190323_121630,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121630.jpg,TP
122,Zaal_J,20190323_121646,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121646.jpg,TP
123,Zaal_J,20190323_121704,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121704.jpg,TP
124,Zaal_J,20190323_121730,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121730.jpg,TP
125,Zaal_J,20190323_121753,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121753.jpg,TP
126,Zaal_J,20190323_121834,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121834.jpg,TP
127,Zaal_J,20190323_121919,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_J/20190323_121919.jpg,TP
128,Zaal_K,20190323_122001,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122001.jpg,TP
129,Zaal_K,20190323_122019,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122019.jpg,TP
130,Zaal_K,20190323_122032,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122032.jpg,TP
131,Zaal_K,20190323_122122,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122122.jpg,FN
132,Zaal_K,20190323_122235,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122235.jpg,TP
133,Zaal_K,20190323_122258,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122258.jpg,TP
134,Zaal_K,20190323_122326,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122326.jpg,TP
135,Zaal_K,20190323_122357,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122357.jpg,TP
136,Zaal_K,20190323_122357,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122357.jpg,TP
137,Zaal_K,20190323_122357,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122357.jpg,TP
138,Zaal_K,20190323_122357,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_K/20190323_122357.jpg,TP
139,Zaal_L,20190323_122601,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122601.jpg,TP
140,Zaal_L,20190323_122614,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122614.jpg,TP
141,Zaal_L,20190323_122614,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122614.jpg,TP
142,Zaal_L,20190323_122633,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122633.jpg,TP
143,Zaal_L,20190323_122703,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122703.jpg,TP
144,Zaal_L,20190323_122719,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122719.jpg,TP
145,Zaal_L,20190323_122739,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122739.jpg,TP
146,Zaal_L,20190323_122756,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122756.jpg,FN
147,Zaal_L,20190323_122825,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122825.jpg,TP
148,Zaal_L,20190323_122914,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122914.jpg,TP
149,Zaal_L,20190323_122937,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122937.jpg,TP
150,Zaal_L,20190323_122950,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_L/20190323_122950.jpg,TP
151,Zaal_M,20190323_123139,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_M/20190323_123139.jpg,TP
